station,event1,event2,Δτl,Δτc,Δτr,Δτr2,Δτl2,ccl,ccc,ccr,Δτ,Δτp,cs,x1,x2,Δτ2,n1,n2
IU.WAKE.00.BHZ,1999-06-15T10:46:42.81,2021-05-19T20:27:26.88,"[-1.0827047951776274, -1.010189609070147]","[-0.659029397192722, -0.6993513145650755]","[-0.2536729448316074, -0.399202497759367]","[0.14734100187651228, 0.14510635605177896]","[-1.5153033272834509, -1.320401171884927]","[0.5380858157587654, 0.38174046780812065]","[0.6130873652074246, 0.3928471439211357]","[0.3899414693968025, 0.23197439230935102]",-1.0827047951776274,-1.4483387258733187,1,0.7893093286805967,0.040321917372353466,-1.010189609070147,0.004382569271703218,0.0
IU.WAKE.00.BHZ,1999-08-02T15:31:47.16,2011-04-19T12:55:32.52,"[1.4377303466110039, 1.6234666725708837]","[1.8872914232919018, 1.9271671804023318]","[2.3240444576200945, 2.240439468292757]","[2.7522397286180365, 2.553006872074726]","[0.9598205203614463, 1.0662476953758018]","[0.5070337604388085, 0.220879996321354]","[0.7024264893560387, 0.3412793356104295]","[0.5383192961044085, 0.32565026023086585]",1.4377303466110039,0.7592470318245821,1,1.1280443914673197,-0.03987575711043001,1.6234666725708837,0.0031152374088161405,0.0
IU.WAKE.00.BHZ,1999-09-06T13:16:42.75,2011-04-04T21:52:56.25,"[1.30501138366197, 1.4134352070640068]","[1.7215091497960944, 1.7406781368427298]","[2.128518792461375, 2.0660885666325615]","[2.744374176980157, 2.6998231769541188]","[0.8581212224245981, 0.7644190063659778]","[0.6203670289640872, 0.44584698631474434]","[0.7531764225117932, 0.5464017313417863]","[0.5356464558784357, 0.5429567171913524]",1.30501138366197,0.49371970138192006,1,1.2277894484141743,-0.01916898704663539,1.4134352070640068,-0.022405175459368154,-0.00823851037562906
IU.WAKE.00.BHZ,1999-09-06T13:16:42.75,2011-11-05T23:43:44.12,"[0.4684480356830082, 0.5345564988282799]","[0.8749981903944589, 0.8379059576425095]","[1.2722393589062508, 1.1395285228100163]","[1.9516356955431622, 1.9814440594382634]","[0.031334846664387746, 0.22872005222899355]","[0.7487954858890515, 0.8146933168002473]","[0.7762132295511041, 0.7573641180552159]","[0.4083476088639286, 0.45593900646610536]",0.4684480356830082,-0.01514483163138225,1,0.8901430220258412,0.037092232751949394,0.5345564988282799,-0.009864520872666038,-0.0013557689643772242
IU.WAKE.00.BHZ,1999-09-06T13:16:42.75,2013-07-18T17:05:03.6,"[-0.10227000786715078, -0.048334246543001974]","[0.3017559493375322, 0.25577876358365403]","[0.7062577707411155, 0.5560159661641642]","[1.3050355845464485, 1.3849946834410396]","[-0.5305753539797005, -0.35778234362751377]","[0.765804873331015, 0.7673110102751001]","[0.8197438197371995, 0.7310819325750184]","[0.4547863425653818, 0.44390172745957496]",0.3017559493375322,0.5759418336033445,2,-0.2741858842658123,0.04597718575387816,0.25577876358365403,-0.0527505624338806,-0.005457826268175869
IU.WAKE.00.BHZ,1999-09-06T13:16:42.75,2015-11-29T07:38:31.91,"[0.2148409391165881, 0.3218505306596466]","[0.6384330225965783, 0.6204195714195949]","[1.0514649257769493, 0.9223345452604128]","[1.4986291529334994, 1.2335683021767887]","[-0.2743416981510814, -0.27585071987794213]","[0.4634406661416115, 0.6303574468233468]","[0.6654889526963579, 0.5751702749434958]","[0.5288866791559645, 0.3295970228667276]",0.6384330225965783,0.5810103867262687,2,0.0574226358703096,0.018013451176983386,0.6204195714195949,-0.0069484084002086055,0.015052105608181043
IU.WAKE.00.BHZ,2000-05-30T14:27:49.04,2002-10-26T10:43:25.71,"[2.369380690839712, 2.4723577574739592]","[2.780092298406913, 2.795689375058424]","[3.183849714759519, 3.1222985825701155]","[3.5956380856991466, 3.4443237415216488]","[1.9003197559135219, 1.806832839517685]","[0.4704647206062572, 0.5802583614599442]","[0.7342807326818794, 0.6707048093212975]","[0.5853093959226148, 0.6506973618787374]",2.780092298406913,2.716338211655991,2,0.06375408675092231,-0.015597076651511,2.795689375058424,0.0008382884533673085,-0.0010952765883205373
IU.WAKE.00.BHZ,2000-05-30T14:27:49.04,2005-09-10T20:06:49.54,"[0.9280955495404907, 1.032697275879865]","[1.340998173585075, 1.3639544129986354]","[1.7508782920048493, 1.6895385366716342]","[2.186518928306952, 2.008283416751625]","[0.3535126645654347, 0.3381488418056803]","[0.305618340341479, 0.40603984052353004]","[0.6010104964665016, 0.5306226782722862]","[0.48009717653225314, 0.5916314316905621]",1.340998173585075,1.1361567873072422,2,0.20484138627783266,-0.02295623941356051,1.3639544129986354,0.001632786861350155,0.0010952765883218696
IU.WAKE.00.BHZ,2000-06-28T16:12:16.9,2012-06-22T12:44:48.38,"[0.22292134250525972, 0.3483555795963213]","[0.6464419876243225, 0.6575223678156917]","[1.0543357858534406, 0.9552142015640888]","[1.4742329909014806, 1.46587133181142]","[-0.264476679598942, -0.2990018201844753]","[0.4272748513796066, 0.36179042873190814]","[0.6299469333984016, 0.46265078495009715]","[0.547155738160465, 0.37610677163701284]",0.6464419876243225,0.496072966797645,2,0.15036902082667747,-0.011080380191369255,0.6575223678156917,-0.0040224525284793256,-0.00614727618233879
IU.WAKE.00.BHZ,2000-06-28T16:12:16.9,2015-01-26T01:31:54.71,"[-1.0366946503931227, -0.9605281839576552]","[-0.6309477215945136, -0.6655454285545871]","[-0.2295524591923156, -0.3837410632037677]","[0.17514561096934333, 0.14620330939097853]","[-1.5457160481864716, -1.6077974631114411]","[0.5296219389343088, 0.5356780016385457]","[0.7180393914251566, 0.6082364321663545]","[0.569159803581214, 0.45844645201149864]",-0.6309477215945136,-0.4042622716773352,2,-0.22668544991717843,0.03459770696007347,-0.6655454285545871,0.001795307625463094,0.006296434270120388
IU.WAKE.00.BHZ,2000-06-28T16:12:16.9,2017-09-25T08:03:23.9,"[-1.585254757856138, -1.4584468627410192]","[-1.1693066747703877, -1.1621300408085158]","[-0.7718530696398297, -0.8779353893319987]","[-0.3725277723579498, -0.3500572360841577]","[-2.0867427369543448, -2.0540412369226404]","[0.41671065618577, 0.5062290944593358]","[0.6765614425733592, 0.5836191251455386]","[0.6216904199524145, 0.4850704018401488]",-1.1693066747703877,-1.297415044532675,2,0.12810836976228734,-0.007176633961871959,-1.1621300408085158,0.010106164589072097,0.007027320963601813
