station,event1,event2,Δτl,Δτc,Δτr,Δτr2,ccl,ccc,ccr,Δτ,Δτp,cs,x1,x2,Δτ2,n1,n2
H11N3,2008-09-18T13:53:36.14,2015-06-10T20:12:18.97,"[-1.7432568329860032, -1.6583621399365183]","[-1.3524839503832045, -1.347992984775259]","[-0.9628255627791897, -1.04059372948808]","[-0.5646326605254978, -0.7384828467788017]","[0.5532733892369701, 0.39899646968590197]","[0.7629498967373379, 0.46162337172404033]","[0.6067647458656453, 0.4384525869962682]",-1.3524839503832045,-1.2392135944871803,2,-0.11327035589602419,-0.004490965607945485,-1.347992984775259,0.0007221576995102286,0.0
H11N3,2008-09-25T01:36:44.17,2009-10-15T21:56:46.22,"[0.22445160056418395, 0.2662168075557094]","[0.586907873346056, 0.5592675557987645]","[0.9457423108485761, 0.8525344565160936]","[1.2938193750854952, 1.1528951437706894]","[0.7702933601756835, 0.7295566627356452]","[0.7845906391611898, 0.8120360863227094]","[0.5415188503079971, 0.5620623803356788]",0.586907873346056,0.8541096834432207,2,-0.2672018100971647,0.02764031754729146,0.5592675557987645,-0.01738940719520865,-0.0012095213074322375
H11N3,2008-09-25T01:36:44.17,2010-10-26T12:06:19.17,"[-2.1733258467105525, -2.0716107055507296]","[-1.8118497161637155, -1.767895153846277]","[-1.445035070064232, -1.4709873771442836]","[-1.0863888428244026, -1.1677867007704665]","[0.5080570391162084, 0.26824755147719875]","[0.6779379990266068, 0.6057897103245964]","[0.6416543679381497, 0.6932664154093849]",-1.0863888428244026,-0.04513214298177254,4,-1.766717573181943,-0.04395456231743844,-1.1677867007704665,-0.011780301922217129,-0.009247690751095217
H11N3,2008-09-25T01:36:44.17,2012-10-19T04:10:48.31,"[-1.5863323153379913, -1.5311747852047926]","[-1.2209415738295266, -1.2373903574751648]","[-0.8578135792881222, -0.9354955696341067]","[-0.5165972422102979, -0.605266762101225]","[0.6750392452946322, 0.6775302788379917]","[0.7782294894207804, 0.7437056582543509]","[0.5295782233801895, 0.4964795793152549]",-0.8578135792881222,0.14561436574746556,3,-1.3665559395769922,0.016448783645638176,-0.9354955696341067,-0.006105658189843877,0.0019562033457043437
H11N3,2008-09-25T01:36:44.17,2013-08-21T16:14:19.88,"[-1.0185411086386542, -0.9437348719880801]","[-0.6474282700406166, -0.6453822890608626]","[-0.27709510998891873, -0.35008697683798623]","[0.08135822074969214, -0.05130097722202806]","[0.5508462798912753, 0.3934719340578457]","[0.7065381586793368, 0.5656417529677926]","[0.5383488956557352, 0.478052098155754]",-0.27709510998891873,0.4986889110324566,3,-1.1461171810730733,-0.0020459809797540585,-0.35008697683798623,0.017217172543072035,0.013272811300356735
H11N3,2008-09-25T01:36:44.17,2014-08-29T04:05:26.52,"[-0.011906106501545954, 0.04250316363902811]","[0.34641794917942575, 0.3420740546804769]","[0.7084424311030457, 0.6380586348061038]","[1.061522520981341, 0.934936502350354]","[0.5521288356675048, 0.4622502702592086]","[0.6274839008981373, 0.5891744859798622]","[0.483697453756446, 0.5231061376144261]",0.7084424311030457,1.356784139091769,3,-1.0103661899123433,0.0043438944989488415,0.6380586348061038,0.0010648519276033053,-0.005056022051367237
H11N3,2008-09-25T01:36:44.17,2020-08-30T02:43:43.1,"[-2.2532632583718537, -2.121474758565761]","[-1.886284230905013, -1.833708852797866]","[-1.5192673209480154, -1.5439567964607066]","[-1.1586406483525404, -1.2475218726505848]","[0.46834903294967484, 0.34191396685647313]","[0.6352593287873938, 0.6461856755063645]","[0.5876399489586706, 0.71398242049425]",-1.1586406483525404,-0.013438767769894555,4,-1.8728454631351183,-0.052575378107146964,-1.2475218726505848,-0.00788872511150962,0.0002842194638323914
H11N3,2008-10-05T01:54:07.5,2019-10-20T04:42:52.83,"[-1.0149739544672707, -0.9136689997302654]","[-0.6181948759348933, -0.6357244131797183]","[-0.2176138017486322, -0.3582824351938392]","[0.2079991731974956, -0.08727155910724899]","[0.5966661985970252, 0.40114227781597134]","[0.6809324716958641, 0.5558588883272704]","[0.4634017861846338, 0.4149504403460267]",-0.6181948759348933,-0.5513289325519946,2,-0.06686594338289875,0.017529537244824978,-0.6357244131797183,-0.0011702498250431015,0.0
H11N3,2008-10-14T03:37:46.15,2020-02-20T03:53:08.22,"[-0.7298093372220166, -0.6535136630874315]","[-0.3581767564453664, -0.35432550538538937]","[0.007018235373741868, -0.05379833447947761]","[0.3461377352409691, 0.281063540618486]","[0.52953799400955, 0.42684055074646565]","[0.6873441486797534, 0.6008953337129616]","[0.47698782497208625, 0.47229895624546436]",-0.3581767564453664,0.04761855222277412,2,-0.4057953086681405,-0.0038512510599770233,-0.35432550538538937,0.020184216843311176,0.0
H11N3,2008-10-25T21:35:34.72,2020-05-28T17:46:07.96,"[1.5303656182825034, 1.648198979051939]","[1.9128533071789802, 1.9248418548887332]","[2.2958010060348832, 2.203543155255031]","[2.6824153998906493, 2.4753030172702997]","[0.592718382622666, 0.40079951303207145]","[0.7403127980127758, 0.5868055245380484]","[0.5485706567262162, 0.5245418483926045]",1.9128533071789802,1.9075556160996858,2,0.005297691079294342,-0.011988547709752995,1.9248418548887332,0.05673580214265517,0.0
